"By province","By economic activity","Item","UNIT","1985 Year","1986 Year","1987 Year","1988 Year","1989 Year","1990 Year","1991 Year","1992 Year","1993 Year","1994 Year","1995 Year","1996 Year","1997 Year","1998 Year","1999 Year","2000 Year","2001 Year","2002 Year","2003 Year","2004 Year","2005 Year","2006 Year","2007 Year","2008 Year","2009 Year","2010 Year","2011 Year","2012 Year","2013 Year","2014 Year","2015 Year","2016 Year","2017 Year","2018 Year","2019 Year","2020 Year","2021 Year","2022 Year","2023 Year","2024 Year",
"Jeollanam-do","Professional, scientific and technical activities","Substantial contribution","","",".13","-.42",".01",".02",".29",".16","-.06",".14",".07",".18","-.08",".13","-.03",".09",".03",".07","-.15",".02","-.02",".02",".13",".04",".02",".07","-.05","-.05",".03",".13",".05",".1","-.08",".07",".11",".08",".04",".55","-.25",".13","-.05",
"Jeollanam-do","Business facilities management and business support services; rental and leasing activities","At current prices","","27603","37602","17137","29850","35804","87554","89859","68683","90240","113226","163969","197479","249295","247617","282593","298327","277410","272469","306579","320277","360282","383511","494865","524312","597340","691114","777591","871561","994059","1051446","1147447","1224439","1287460","1443039","1567298","1628546","1565837","1577521","1706243","1697232",
"Jeollanam-do","Business facilities management and business support services; rental and leasing activities","At chained 2020 year prices","","75527","106322","44308","63221","65909","134767","150362","105148","142943","169721","231922","288623","337671","338626","440542","448855","424766","405892","455922","455229","488220","519634","683011","700364","788441","884096","995549","1078668","1220907","1259879","1308015","1390132","1429074","1535026","1629318","1628546","1548686","1496324","1537200","1492571",
"Jeollanam-do","Business facilities management and business support services; rental and leasing activities","Substantial contribution","","",".17","-.29",".11",".02",".43",".1","-.21",".17",".1",".23",".18",".13","0",".25",".02","-.05","-.04",".09","0",".05",".05",".26",".02",".12",".13",".13",".1",".17",".05",".06",".1",".04",".12",".11","0","-.1","-.06",".04","-.05",
"Gyeongsangbuk-do","GRDP at market prices","At current prices","","7309020","8668100","10241409","12742978","13408793","15126109","17947264","19570429","21494555","26279966","30133737","32960450","38935082","38510715","42691914","48310459","50371041","54604059","59483763","66828589","70120727","71946347","75097087","79190540","82519405","91806685","95023354","97290949","102091617","109077761","109563894","112216094","115044741","115378926","113784086","112072885","118718919","121411361","127412315","134698401",
"Gyeongsangbuk-do","GRDP at market prices","At chained 2020 year prices","","17895135","20794685","23301061","26787760","26939328","27775942","30155825","30302163","31335731","35797484","38972633","42497916","48791902","45786877","52351120","59917089","62015512","66000562","71052068","76189441","81313318","84177782","91022903","93483881","93431342","100345157","102712514","103791682","108093523","116042248","113620740","114425351","114123635","114346845","115485515","112072885","114892653","115612472","118366159","119349192",
"Gyeongsangbuk-do","GRDP at market prices","Substantial contribution","","","16.2","12.05","14.96",".57","3.11","8.57",".49","3.41","14.24","8.87","9.05","14.81","-6.16","14.34","14.45","3.5","6.43","7.65","7.23","6.73","3.52","8.13","2.7","-.06","7.4","2.36","1.05","4.14","7.35","-2.09",".71","-.26",".2","1","-2.96","2.52",".63","2.38",".83",
"Gyeongsangbuk-do","Mining and quarrying","At current prices","","45529","53131","58574","68384","80263","104356","121110","114779","128373","187681","204775","174886","174169","160994","191704","144631","143496","174937","98773","161994","189497","183906","187487","191254","217906","170607","204145","185971","199997","209407","184673","196402","170555","147245","129067","148606","149608","147540","168752","124649",
"Gyeongsangbuk-do","Mining and quarrying","At chained 2020 year prices","","160776","168513","192173","232754","271586","254444","262905","252283","285335","361716","390862","330594","307586","264806","349483","254474","246744","258178","210207","249991","301865","319222","311654","274890","302369","243476","249499","222764","228572","242689","188370","192659","158370","139540","122224","148606","157248","142982","131820","91560",
"Gyeongsangbuk-do","Mining and quarrying","Substantial contribution","","",".03",".09",".12",".09","-.04",".02","-.03",".08",".16",".06","-.1","-.04","-.06",".13","-.12","-.01",".01","-.06",".03",".05",".02","-.01","-.03",".02","-.05","0","-.02","0",".01","-.04","0","-.03","-.02","-.02",".02",".01","-.01","-.01","-.04",
"Gyeongsangbuk-do","Manufacturing","At current prices","","2393738","3223954","3980995","5499073","5224965","5362326","6486784","6395121","7438995","9614499","11194025","12180147","15983681","16428726","18288552","22504795","21941381","24058181","26913881","32558129","34655375","34828341","36754337","39735243","41264885","47470363","49089652","49065653","51841322","55901407","51483217","51042317","52669003","52236192","48637611","45372736","49231265","50167955","49372605","52379666",
"Gyeongsangbuk-do","Manufacturing","At chained 2020 year prices","","4193758","5585298","6697472","8198699","7488360","7591554","8398269","8052646","8625822","10209705","10906790","12340571","15743016","14762232","17695668","22415696","22537065","24985782","28382475","31896491","35154693","36417135","41615840","42505935","42108056","46446078","47692661","47454076","49973294","55435987","50557740","49740845","48784555","48629114","48177696","45372736","46047383","45008744","46051126","45993264",
"Gyeongsangbuk-do","Manufacturing","Substantial contribution","","","10.87","7.41","8.71","-3.74",".54","3.77","-1.49","2.33","6.35","2.5","4.88","10.19","-2.56","8.48","11.43",".25","4.73","5.99","5.6","4.98","1.77","6.91","1.05","-.47","5.15","1.39","-.26","2.68","5.55","-4.51","-.76","-.87","-.15","-.42","-2.49",".6","-.94",".96","-.05",
"Gyeongsangbuk-do","Manufacture of Food Products and Tobacco Products","At current prices","","173195","191463","224772","258073","279242","297685","355823","409574","468401","607555","552190","602267","653767","633587","666767","699951","732736","808641","914757","1046017","1027766","1105047","1150969","1221405","1348652","1270600","1156783","1291507","1256605","1535294","1507570","1567453","1551889","1638609","1623811","1673334","1804159","1901172","1994710","2037056",
"Gyeongsangbuk-do","Manufacture of Food Products and Tobacco Products","At chained 2020 year prices","","856867","914915","991286","1084623","1045466","976270","1057134","1117049","1130018","1280220","1165818","1225587","1267269","1043495","1076672","1124700","1178365","1251940","1380297","1467193","1443370","1659957","1887434","1740072","1613419","1548402","1332555","1522751","1456069","1723950","1603407","1601080","1619986","1668675","1654503","1673334","1882977","2048159","1917587","1926876",
"Gyeongsangbuk-do","Manufacture of Food Products and Tobacco Products","Substantial contribution","","",".16",".18",".21","-.07","-.14",".16",".11",".02",".29","-.21",".09",".06","-.3",".05",".07",".07",".09",".15",".1","-.03",".22",".21","-.12","-.11","-.07","-.19",".17","-.06",".23","-.1","0",".02",".04","-.01",".02",".19",".13","-.1",".01",
"Gyeongsangbuk-do","Manufacture of Textiles and Leather","At current prices","","302964","388352","441561","559592","520749","566309","739389","782317","715244","841734","893952","1076022","1372428","1575280","1735692","1989008","1432696","1209050","1109326","1109249","1099116","1059334","1038348","1172906","1170833","1351926","1590420","1582708","1767545","1670735","1458321","1433435","1383674","1477611","1477713","1438570","1408175","1466512","1443062","1387039",
"Gyeongsangbuk-do","Manufacture of Textiles and Leather","At chained 2020 year prices","","1224219","1441857","1492216","1818036","1623920","1726581","1862538","1720382","1418355","1539271","1528006","1738098","2061563","2082240","2451291","2804211","2010915","1801464","1623806","1569371","1582239","1574137","1657100","1402034","1359827","1611706","1732866","1777084","1990401","1896568","1589330","1498094","1551118","1617881","1514306","1438570","1485585","1379105","1211278","1201228",
"Gyeongsangbuk-do","Manufacture of Textiles and Leather","Substantial contribution","","",".74",".16",".94","-.47",".25",".29","-.31","-.7",".28","-.02",".41",".61",".04",".72",".59","-1.16","-.3","-.22","-.06",".01","-.01",".08","-.21","-.04",".26",".11",".04",".2","-.08","-.25","-.08",".05",".05","-.08","-.06",".04","-.09","-.15","-.01",
"Gyeongsangbuk-do","Manufacture of Wood and  of Paper, printing and reproduction","At current prices","","40378","52476","66538","92833","125050","136074","190813","186276","182638","276090","221100","209565","227855","183189","242373","258557","289594","348751","346167","347149","332986","367237","396763","341112","411367","402993","452569","544326","585921","593229","611583","649915","583821","627379","607698","667789","718072","775144","826008","804764",
"Gyeongsangbuk-do","Manufacture of Wood and  of Paper, printing and reproduction","At chained 2020 year prices","","117074","138886","168052","213981","279084","289839","361011","329256","295556","377234","286036","271098","294422","224363","270493","287555","295536","338279","344769","328758","316858","333223","325978","522592","512091","521775","566580","646858","662460","670774","658814","684305","619823","609893","593600","667789","679134","678371","654531","663819",
"Gyeongsangbuk-do","Manufacture of Wood and  of Paper, printing and reproduction","Substantial contribution","","",".1",".13",".18",".22",".04",".22","-.09","-.1",".23","-.25","-.04",".05","-.14",".1",".04",".01",".08",".01","-.03","-.02",".02","-.01",".32","-.01",".01",".04",".07",".01",".01","-.01",".02","-.05","-.01","-.01",".07",".01","0","-.02",".01",
